sid,sub,obj,class
1,Warren_G._Harding,Florence_Harding,1
2,Calvin_Coolidge,Grace_Coolidge,1
3,Herbert_Hoover,Lou_Henry_Hoover,1
4,Franklin_D._Roosevelt,Eleanor_Roosevelt,1
5,Harry_S._Truman,Bess_Truman,1
6,Dwight_D._Eisenhower,Mamie_Eisenhower,1
7,John_F._Kennedy,Jacqueline_Kennedy_Onassis,1
8,Lyndon_B._Johnson,Lady_Bird_Johnson,1
9,Richard_Nixon,Pat_Nixon,1
10,Gerald_Ford,Betty_Ford,1
11,Jimmy_Carter,Rosalynn_Carter,1
12,Ronald_Reagan,Nancy_Reagan,1
13,George_H._W._Bush,Barbara_Bush,1
14,Bill_Clinton,Hillary_Clinton,1
15,George_W._Bush,Laura_Bush,1
16,Barack_Obama,Michelle_Obama,1
17,John_F._Kennedy,Laura_Bush,0
18,Barack_Obama,Hillary_Clinton,0
19,Lyndon_B._Johnson,Jacqueline_Kennedy_Onassis,0
20,Richard_Nixon,Florence_Harding,0
21,Harry_S._Truman,Rosalynn_Carter,0
22,Bill_Clinton,Michelle_Obama,0
23,George_H._W._Bush,Betty_Ford,0
24,George_H._W._Bush,Mamie_Eisenhower,0
25,John_F._Kennedy,Florence_Harding,0
26,Ronald_Reagan,Lou_Henry_Hoover,0
27,George_H._W._Bush,Michelle_Obama,0
28,Herbert_Hoover,Michelle_Obama,0
29,Bill_Clinton,Nancy_Reagan,0
30,Lyndon_B._Johnson,Hillary_Clinton,0
31,Gerald_Ford,Bess_Truman,0
32,Ronald_Reagan,Pat_Nixon,0
